s,a,r,sp,d
1,2,13,2,1
1,3,12,9,1
2,2,13,3,2
2,3,15,10,2
2,4,11,1,2
3,2,10,4,3
3,3,15,11,3
3,4,13,2,3
4,2,11,5,1
4,3,14,12,1
4,4,13,3,1
5,2,9,6,1
5,3,15,13,1
5,4,10,4,1
6,2,15,7,0
6,3,11,14,0
6,4,11,5,0
7,2,16,8,0
7,3,20,15,0
7,4,9,6,0
8,3,18,16,0
8,4,15,7,0
9,1,10,1,0
9,2,14,10,0
9,3,12,17,0
10,1,12,2,2
10,2,14,11,2
10,3,12,18,2
10,4,11,9,2
11,1,12,3,3
11,2,13,12,3
11,3,14,19,3
11,4,14,10,3
12,1,9,4,3
12,2,14,13,3
12,3,13,20,3
12,4,14,11,3
13,1,10,5,3
13,2,10,14,3
13,3,11,21,3
13,4,13,12,3
14,1,8,6,0
14,2,19,15,0
14,3,10,22,0
14,4,14,13,0
15,1,14,7,3
15,2,17,16,3
15,3,19,23,3
15,4,10,14,3
16,1,15,8,0
16,3,19,24,0
16,4,19,15,0
17,1,10,9,1
17,2,11,18,1
17,3,20,25,1
18,1,13,10,0
18,2,13,19,0
18,3,21,26,0
18,4,11,17,0
19,1,13,11,3
19,2,12,20,3
19,3,21,27,3
19,4,11,18,3
20,1,12,12,3
20,2,10,21,3
20,3,12,28,3
20,4,13,19,3
21,1,13,13,0
21,2,9,22,0
21,3,12,29,0
21,4,12,20,0
22,1,9,14,0
22,2,18,23,0
22,3,12,30,0
22,4,10,21,0
23,1,18,15,3
23,2,18,24,3
23,3,13,31,3
23,4,9,22,3
24,1,16,16,2
24,3,14,32,2
24,4,18,23,2
25,1,10,17,2
25,2,20,26,2
25,3,19,33,2
26,1,10,18,2
26,2,20,27,2
26,3,18,34,2
26,4,19,25,2
27,1,12,19,3
27,2,11,28,3
27,3,18,35,3
27,4,20,26,3
28,1,11,20,2
28,2,11,29,2
28,3,11,36,2
28,4,20,27,2
29,1,9,21,1
29,2,11,30,1
29,3,10,37,1
29,4,11,28,1
30,1,8,22,2
30,2,12,31,2
30,3,11,38,2
30,4,11,29,2
31,1,17,23,0
31,2,13,32,0
31,3,14,39,0
31,4,11,30,0
32,1,17,24,0
32,3,13,40,0
32,4,12,31,0
33,1,18,25,2
33,2,17,34,2
33,3,9,41,2
34,1,19,26,0
34,2,17,35,0
34,3,10,42,0
34,4,18,33,0
35,1,19,27,1
35,2,10,36,1
35,3,9,43,1
35,4,17,34,1
36,1,10,28,2
36,2,9,37,2
36,3,25,44,2
36,4,17,35,2
37,1,10,29,0
37,2,10,38,0
37,3,5,45,0
37,4,10,36,0
38,1,10,30,2
38,2,13,39,2
38,3,4,46,2
38,4,9,37,2
39,1,11,31,2
39,2,12,40,2
39,3,14,47,2
39,4,10,38,2
40,1,12,32,0
40,3,15,48,0
40,4,13,39,0
41,1,17,33,3
41,2,9,42,3
41,3,10,49,3
42,1,16,34,3
42,2,8,43,3
42,3,11,50,3
42,4,8,41,3
43,1,16,35,3
43,2,24,44,3
43,3,7,51,3
43,4,9,42,3
44,1,9,36,2
44,2,4,45,2
44,3,5,52,2
44,4,8,43,2
45,1,8,37,1
45,2,3,46,1
45,3,7,53,1
45,4,24,44,1
46,1,9,38,1
46,2,13,47,1
46,3,5,54,1
46,4,4,45,1
47,1,12,39,0
47,2,14,48,0
47,3,17,55,0
47,4,3,46,0
48,1,11,40,0
48,3,18,56,0
48,4,13,47,0
49,1,7,41,3
49,2,10,50,3
49,3,7,57,3
50,1,8,42,3
50,2,6,51,3
50,3,10,58,3
50,4,9,49,3
51,1,7,43,0
51,2,4,52,0
51,3,8,59,0
51,4,10,50,0
52,1,23,44,1
52,2,6,53,1
52,3,4,60,1
52,4,6,51,1
53,1,3,45,2
53,2,4,54,2
53,3,4,61,2
53,4,4,52,2
54,1,2,46,1
54,2,16,55,1
54,3,4,62,1
54,4,6,53,1
55,1,12,47,2
55,2,17,56,2
55,3,17,63,2
55,4,4,54,2
56,1,13,48,2
56,3,17,64,2
56,4,16,55,2
57,1,8,49,1
57,2,9,58,1
58,1,9,50,3
58,2,7,59,3
58,4,6,57,3
59,1,5,51,2
59,2,3,60,2
59,4,9,58,2
60,1,3,52,1
60,2,3,61,1
60,4,7,59,1
61,1,5,53,0
61,2,3,62,0
61,4,3,60,0
62,1,3,54,1
62,2,16,63,1
62,4,3,61,1
63,1,15,55,3
63,2,16,64,3
63,4,3,62,3
64,1,16,56,2
64,4,16,63,2
