s,a,r,sp,density
1,2,2,2,1
1,3,2,8,1
2,2,-2,3,3
2,3,1,9,3
2,4,-1,1,3
3,2,15,4,0
3,3,1,10,0
3,4,2,2,0
4,2,18,5,1
4,3,16,11,1
4,4,-2,3,1
5,2,14,6,3
5,3,19,12,3
5,4,15,4,3
6,2,10,7,0
6,3,19,13,0
6,4,18,5,0
7,3,11,14,2
7,4,14,6,2
8,1,-2,1,2
8,2,0,9,2
8,3,0,15,2
9,1,1,2,0
9,2,0,10,0
9,3,3,16,0
9,4,1,8,0
10,1,-3,3,1
10,2,15,11,1
10,3,1,17,1
10,4,0,9,1
11,1,14,4,0
11,2,18,12,0
11,3,15,18,0
11,4,0,10,0
12,1,17,5,2
12,2,18,13,2
12,3,18,19,2
12,4,15,11,2
13,1,13,6,3
13,2,10,14,3
13,3,18,20,3
13,4,18,12,3
14,1,9,7,1
14,3,10,21,1
14,4,18,13,1
15,1,0,8,1
15,2,2,16,1
15,3,0,22,1
16,1,-1,9,3
16,2,0,17,3
16,3,2,23,3
16,4,-1,15,3
17,1,-1,10,2
17,2,14,18,2
17,3,2,24,2
17,4,2,16,2
18,1,14,11,0
18,2,17,19,0
18,3,5,25,0
18,4,0,17,0
19,1,17,12,2
19,2,17,20,2
19,3,8,26,2
19,4,14,18,2
20,1,17,13,3
20,2,9,21,3
20,3,7,27,3
20,4,17,19,3
21,1,9,14,1
21,3,11,28,1
21,4,17,20,1
22,1,-2,15,1
22,2,1,23,1
22,3,16,29,1
23,1,1,16,2
23,2,1,24,2
23,3,15,30,2
23,4,-1,22,2
24,1,-1,17,3
24,2,4,25,3
24,3,17,31,3
24,4,1,23,3
25,1,13,18,0
25,2,7,26,0
25,3,3,32,0
25,4,1,24,0
26,1,16,19,2
26,2,6,27,2
26,3,3,33,2
26,4,4,25,2
27,1,16,20,2
27,2,10,28,2
27,3,5,34,2
27,4,7,26,2
28,1,8,21,1
28,3,1,35,1
28,4,6,27,1
29,1,-2,22,2
29,2,14,30,2
29,3,18,36,2
30,1,0,23,0
30,2,16,31,0
30,3,16,37,0
30,4,15,29,0
31,1,0,24,3
31,2,2,32,3
31,3,15,38,3
31,4,14,30,3
32,1,3,25,1
32,2,2,33,1
32,3,5,39,1
32,4,16,31,1
33,1,6,26,0
33,2,4,34,0
33,3,7,40,0
33,4,2,32,0
34,1,5,27,3
34,2,0,35,3
34,3,5,41,3
34,4,2,33,3
35,1,9,28,1
35,3,4,42,1
35,4,4,34,1
36,1,14,29,3
36,2,15,37,3
36,3,17,43,3
37,1,13,30,0
37,2,14,38,0
37,3,16,44,0
37,4,17,36,0
38,1,15,31,0
38,2,4,39,0
38,3,16,45,0
38,4,15,37,0
39,1,1,32,2
39,2,6,40,2
39,3,3,46,2
39,4,14,38,2
40,1,1,33,3
40,2,4,41,3
40,3,5,47,3
40,4,4,39,3
41,1,3,34,2
41,2,3,42,2
41,3,2,48,2
41,4,6,40,2
42,1,-1,35,3
42,3,1,49,3
42,4,4,41,3
43,1,16,36,3
43,2,15,44,3
44,1,14,37,1
44,2,15,45,1
44,4,16,43,1
45,1,13,38,2
45,2,2,46,2
45,4,15,44,2
46,1,3,39,1
46,2,4,47,1
46,4,15,45,1
47,1,5,40,2
47,2,1,48,2
47,4,2,46,2
48,1,3,41,0
48,2,0,49,0
48,4,4,47,0
49,1,2,42,1
49,4,1,48,1
